title	authors	doi	journal	volume	issue	pages	X.	descriptors	oldfilename	newfilename	file.location	authors.fullnames	link.to.abstract	lookup.code
118	Left frontal cortical activation and spreading of alternatives: Tests of the action-based model of dissonance.	E Harmon-Jones, C Harmon-Jones, M Fearn, JD Sigelman, P Johnson	10.1037/0022-3514.94.1.1	JPSP	94	1	|1/15/2012|		Analysis of Variance, Attitude, Biofeedback, Psychology, Brain Mapping, Cognitive Dissonance, Decision Making, Female, Humans, Male, Models, Psychological, Prefrontal Cortex [physiology]	2008.JPSP/psp 94-1/psp-94-1-1.pdf	JPSP/JPSP-94-1-1.pdf	Reproducibility Papers/JPSP/JPSP-94-1-1.pdf	Eddie Harmon-Jones, Cindy Harmon-Jones, Meghan Fearn, Jonathan D Sigelman, Peter Johnson	NA	JPSP-94-1-1
119	Neurocognitive underpinnings of face perception: Further evidence of distinct person and group perception processes.	MA Zárate, CJ Stoever, MK MacLin, CJ Arms-Chavez	10.1037/0022-3514.94.1.108	JPSP	94	1	108-15		African Americans, Cognitive Science, Face, Female, Functional Laterality, Group Processes, Hispanic Americans, Humans, Male, Models, Psychological, Reaction Time, Social Perception, Stereotyping, United States	2008.JPSP/psp 94-1/psp-94-1-108.pdf	JPSP/JPSP-94-1-108.pdf	Reproducibility Papers/JPSP/JPSP-94-1-108.pdf	Michael A Zárate, Colby J Stoever, M Kimberly MacLin, Clarissa J Arms-Chavez	NA	JPSP-94-1-108
120	A needs-based model of reconciliation: Satisfying the differential emotional needs of victim and perpetrator as a key to promoting reconciliation.	N Shnabel, A Nadler	10.1037/0022-3514.94.1.116	JPSP	94	1	116-32		Adaptation, Psychological, Adult, Analysis of Variance, Conflict (Psychology), Cooperative Behavior, Emotions, Female, Humans, Israel, Male, Models, Psychological, Negotiating, Power (Psychology), Role, Social Perception	2008.JPSP/psp 94-1/psp-94-1-116.pdf	JPSP/JPSP-94-1-116.pdf	Reproducibility Papers/JPSP/JPSP-94-1-116.pdf	Nurit Shnabel, Arie Nadler	NA	JPSP-94-1-116
121	All in the mind's eye? anger rumination and reappraisal.	RD Ray, FH Wilhelm, JJ Gross	10.1037/0022-3514.94.1.133	JPSP	94	1	133-45		Adolescent, Adult, Analysis of Variance, Anger [physiology], Emotions [physiology], Female, Humans, Mental Recall, Obsessive Behavior [physiopathology], Reaction Time, Social Perception, Sympathetic Nervous System [physiopathology], Thinking, United States	2008.JPSP/psp 94-1/psp-94-1-133.pdf	JPSP/JPSP-94-1-133.pdf	Reproducibility Papers/JPSP/JPSP-94-1-133.pdf	Rebecca D Ray, Frank H Wilhelm, James J Gross	NA	JPSP-94-1-133
122	Does depression interfere with effort mobilization? effects of dysphoria and task difficulty on cardiovascular response.	K Brinkmann, GH Gendolla	10.1037/0022-3514.94.1.146	JPSP	94	1	146-57		Adult, Analysis of Variance, Arousal, Attention, Blood Pressure, Depression [physiopathology], Efficiency, Female, Heart Rate, Humans, Male, Memory, Motivation, Reaction Time	2008.JPSP/psp 94-1/psp-94-1-146.pdf	JPSP/JPSP-94-1-146.pdf	Reproducibility Papers/JPSP/JPSP-94-1-146.pdf	Kerstin Brinkmann, Guido H E Gendolla	NA	JPSP-94-1-146
123	Poignancy: Mixed emotional experience in the face of meaningful endings.	H Ersner-Hershfield, JA Mikels, SJ Sullivan, LL Carstensen	10.1037/0022-3514.94.1.158	JPSP	94	1	158-67		Adult, Age Factors, Aged, Aging [psychology], Analysis of Variance, Emotions, Female, Human Development, Humans, Imagination, Male, United States	2008.JPSP/psp 94-1/psp-94-1-158.pdf	JPSP/JPSP-94-1-158.pdf	Reproducibility Papers/JPSP/JPSP-94-1-158.pdf	Hal Ersner-Hershfield, Joseph A Mikels, Sarah J Sullivan, Laura L Carstensen	NA	JPSP-94-1-158
124	Why do implicit and explicit attitude tests diverge? the role of structural fit.	BK Payne, MA Burkley, MB Stokes	10.1037/0022-3514.94.1.16	JPSP	94	1	16-31		Adolescent, Adult, Alcohol Drinking, Analysis of Variance, Attitude, Behavioral Research [methods], Cognition, Emotions, Factor Analysis, Statistical, Female, Humans, Male, Prejudice, Psychological Tests, Reproducibility of Results, Social Conformity, Social Perception, Truth Disclosure	2008.JPSP/psp 94-1/psp-94-1-16.pdf	JPSP/JPSP-94-1-16.pdf	Reproducibility Papers/JPSP/JPSP-94-1-16.pdf	B Keith Payne, Melissa A Burkley, Mark B Stokes	NA	JPSP-94-1-16
125	Why can't a man be more like a woman? sex differences in big five personality traits across 55 cultures.	DP Schmitt, A Realo, M Voracek, J Allik	10.1037/0022-3514.94.1.168	JPSP	94	1	168-82		Biological Evolution, Cross-Cultural Comparison, Female, Gender Identity, Humans, Male, Personality [genetics], Psychological Theory, Sex, Social Conditions, Social Values, Socioeconomic Factors, Women's Rights	2008.JPSP/psp 94-1/psp-94-1-168.pdf	JPSP/JPSP-94-1-168.pdf	Reproducibility Papers/JPSP/JPSP-94-1-168.pdf	David P Schmitt, Anu Realo, Martin Voracek, Jüri Allik	NA	JPSP-94-1-168
126	Culture and the cognitive and neuroendocrine responses to speech.	HS Kim	10.1037/0022-3514.94.1.32	JPSP	94	1	32-47		Analysis of Variance, Asian Americans [psychology], Asian Continental Ancestry Group [psychology], Cognition [physiology], Cross-Cultural Comparison, European Continental Ancestry Group [psychology], Far East [ethnology], Female, Games, Experimental, Humans, Hydrocortisone [metabolism], Male, Problem Solving [physiology], Reaction Time, Saliva [metabolism], Speech [physiology], Stress, Psychological [ethnology], United States	2008.JPSP/psp 94-1/psp-94-1-32.pdf	JPSP/JPSP-94-1-32.pdf	Reproducibility Papers/JPSP/JPSP-94-1-32.pdf	Heejung S Kim	NA	JPSP-94-1-32
127	1/f noise and effort on implicit measures of bias.	J Correll	10.1037/0022-3514.94.1.48	JPSP	94	1	48-59		African Americans, Behavioral Research [statistics & numerical data], Bias (Epidemiology), European Continental Ancestry Group [psychology], Fourier Analysis, Humans, Prejudice, Reaction Time, Regression Analysis, Stereotyping	2008.JPSP/psp 94-1/psp-94-1-48.pdf	JPSP/JPSP-94-1-48.pdf	Reproducibility Papers/JPSP/JPSP-94-1-48.pdf	Joshua Correll	NA	JPSP-94-1-48
128	Individual differences in the regulation of intergroup bias: The role of conflict monitoring and neural signals for control.	DM Amodio, PG Devine, E Harmon-Jones	10.1037/0022-3514.94.1.60	JPSP	94	1	60-74		African Americans, Analysis of Variance, Cognition, Conflict (Psychology), European Continental Ancestry Group, Evoked Potentials, Female, Group Processes, Humans, Inhibition (Psychology), Models, Psychological, Motivation, Neuropsychology, Prejudice, United States	2008.JPSP/psp 94-1/psp-94-1-60.pdf	JPSP/JPSP-94-1-60.pdf	Reproducibility Papers/JPSP/JPSP-94-1-60.pdf	David M Amodio, Patricia G Devine, Eddie Harmon-Jones	NA	JPSP-94-1-60
129	Nuestra culpa: Collective guilt and shame as predictors of reparation for historical wrongdoing.	R Brown, R González, H Zagefka, J Manzi, S Cehajic	10.1037/0022-3514.94.1.75	JPSP	94	1	75-90		Adolescent, Chile, Cross-Sectional Studies, Female, Guilt, Homicide [psychology], Humans, Indians, South American, Longitudinal Studies, Male, Mass Behavior, Race Relations [psychology], Regression Analysis, Shame	2008.JPSP/psp 94-1/psp-94-1-75.pdf	JPSP/JPSP-94-1-75.pdf	Reproducibility Papers/JPSP/JPSP-94-1-75.pdf	Rupert Brown, Roberto González, Hanna Zagefka, Jorge Manzi, Sabina Cehajic	NA	JPSP-94-1-75
130	The space between us: Stereotype threat and distance in interracial contexts.	PA Goff, CM Steele, PG Davies	10.1037/0022-3514.94.1.91	JPSP	94	1	91-107		African Americans, Analysis of Variance, European Continental Ancestry Group [psychology], Humans, Male, Prejudice, Social Distance, Stereotyping, United States	2008.JPSP/psp 94-1/psp-94-1-91.pdf	JPSP/JPSP-94-1-91.pdf	Reproducibility Papers/JPSP/JPSP-94-1-91.pdf	Phillip Atiba Goff, Claude M Steele, Paul G Davies	NA	JPSP-94-1-91
131	Dynamics of self-regulation: How (un)accomplished goal actions affect motivation.	M Koo, A Fishbach	10.1037/0022-3514.94.2.183	JPSP	94	2	183-95		Adolescent, Adult, Aged, Attitude, Charities [economics], Female, Fund Raising [ethics], Goals, Humans, Male, Middle Aged, Motivation, Social Control, Informal	2008.JPSP/psp 94-2/psp-94-2-183.pdf	JPSP/JPSP-94-2-183.pdf	Reproducibility Papers/JPSP/JPSP-94-2-183.pdf	Minjung Koo, Ayelet Fishbach	NA	JPSP-94-2-183
132	Opening the mind to close it: Considering a message in light of important values increases message processing and later resistance to change.	KL Blankenship, DT Wegener	10.1037/0022-3514.94.2.94.2.196	JPSP	94	2	196-213		Attitude, Cognition, Humans, Mental Processes, Persuasive Communication, Thinking	2008.JPSP/psp 94-2/psp-94-2-196.pdf	JPSP/JPSP-94-2-196.pdf	Reproducibility Papers/JPSP/JPSP-94-2-196.pdf	Kevin L Blankenship, Duane T Wegener	NA	JPSP-94-2-196
133	I want to be creative: Exploring the role of hedonic contingency theory in the positive mood-cognitive flexibility link.	ER Hirt, EE Devers, SM McCrea	10.1037/0022-3514.94.2.94.2.214	JPSP	94	2	214-30		Adult, Affect, Cognition, Creativeness, Female, Humans, Male, Psychological Theory	2008.JPSP/psp 94-2/psp-94-2-214.pdf	JPSP/JPSP-94-2-214.pdf	Reproducibility Papers/JPSP/JPSP-94-2-214.pdf	Edward R Hirt, Erin E Devers, Sean M McCrea	NA	JPSP-94-2-214
134	Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.	P Fischer, S Schulz-Hardt, D Frey	10.1037/0022-3514.94.2.94.2.231	JPSP	94	2	231-44		Adolescent, Adult, Choice Behavior, Decision Making, Female, Humans, Male, Mental Processes, Middle Aged	2008.JPSP/psp 94-2/psp-94-2-231.pdf	JPSP/JPSP-94-2-231.pdf	Reproducibility Papers/JPSP/JPSP-94-2-231.pdf	Peter Fischer, Stefan Schulz-Hardt, Dieter Frey	NA	JPSP-94-2-231
135	R2|Selective exposure and information quantity: How different information quantities moderate decision makers' preference for consistent and inconsistent information.	P Fischer, S Schulz-Hardt, D Frey	10.1037/0022-3514.94.2.94.2.231	JPSP	94	2	231-44		Adolescent, Adult, Choice Behavior, Decision Making, Female, Humans, Male, Mental Processes, Middle Aged	2008.JPSP/psp 94-2/psp-94-2-231.pdf	JPSP/JPSP-94-2-231.pdf	Reproducibility Papers/JPSP/JPSP-94-2-231.pdf	Peter Fischer, Stefan Schulz-Hardt, Dieter Frey	NA	JPSP-94-2-231
136	Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?	PW Eastwick, EJ Finkel	10.1037/0022-3514.94.2.245	JPSP	94	2	245-64		Adult, Choice Behavior, Empathy, Female, Humans, Love, Male, Marriage [psychology], Questionnaires, Sexual Behavior [psychology]	2008.JPSP/psp 94-2/psp-94-2-245.pdf	JPSP/JPSP-94-2-245.pdf	Reproducibility Papers/JPSP/JPSP-94-2-245.pdf	Paul W Eastwick, Eli J Finkel	NA	JPSP-94-2-245
137	Expect the unexpected: Failure to anticipate similarities leads to an intergroup forecasting error.	RK Mallett, TD Wilson, DT Gilbert	10.1037/0022-3514.94.2.94.2.265	JPSP	94	2	265-77		Adolescent, Adult, Affect, Female, Forecasting, Humans, Interpersonal Relations, Male, Middle Aged, Social Perception	2008.JPSP/psp 94-2/psp-94-2-265.pdf	JPSP/JPSP-94-2-265.pdf	Reproducibility Papers/JPSP/JPSP-94-2-265.pdf	Robyn K Mallett, Timothy D Wilson, Daniel T Gilbert	NA	JPSP-94-2-265
138	How attributional ambiguity shapes physiological and emotional responses to social rejection and acceptance.	WB Mendes, B Major, S McCoy, J Blascovich	10.1037/0022-3514.94.2.278	JPSP	94	2	278-91		Adult, Affect, Discrimination (Psychology), Female, Heart Rate, Humans, Male, Rejection (Psychology), Social Behavior, Social Desirability	2008.JPSP/psp 94-2/psp-94-2-278.pdf	JPSP/JPSP-94-2-278.pdf	Reproducibility Papers/JPSP/JPSP-94-2-278.pdf	Wendy Berry Mendes, Brenda Major, Shannon McCoy, Jim Blascovich	NA	JPSP-94-2-278
139	Not yet human: Implicit knowledge, historical dehumanization, and contemporary consequences.	PA Goff, JL Eberhardt, MJ Williams, MC Jackson	10.1037/0022-3514.94.2.292	JPSP	94	2	292-306		Adolescent, Adult, African Continental Ancestry Group [history], Civil Rights, Dehumanization, European Continental Ancestry Group, History, 19th Century, History, 20th Century, Humans, Male, Prejudice, Questionnaires, Stereotyping, United States	2008.JPSP/psp 94-2/psp-94-2-292.pdf	JPSP/JPSP-94-2-292.pdf	Reproducibility Papers/JPSP/JPSP-94-2-292.pdf	Phillip Atiba Goff, Jennifer L Eberhardt, Melissa J Williams, Matthew Christian Jackson	NA	JPSP-94-2-292
140	Unraveling the role of forgiveness in family relationships.	GR Maio, G Thomas, FD Fincham, KB Carnelley	10.1037/0022-3514.94.2.307	JPSP	94	2	307-19		Adolescent, Adult, Attitude, Cross-Sectional Studies, Family [psychology], Family Relations, Female, Humans, Male, Persuasive Communication, Social Behavior	2008.JPSP/psp 94-2/psp-94-2-307.pdf	JPSP/JPSP-94-2-307.pdf	Reproducibility Papers/JPSP/JPSP-94-2-307.pdf	Gregory R Maio, Geoff Thomas, Frank D Fincham, Katherine B Carnelley	NA	JPSP-94-2-307
141	Are individuals' reputations related to their history of behavior?	C Anderson, A Shirako	10.1037/0022-3514.94.2.320	JPSP	94	2	320-33		Adult, Female, Humans, Male, Social Behavior, Social Perception	2008.JPSP/psp 94-2/psp-94-2-320.pdf	JPSP/JPSP-94-2-320.pdf	Reproducibility Papers/JPSP/JPSP-94-2-320.pdf	Cameron Anderson, Aiwa Shirako	NA	JPSP-94-2-320
142	Personality as manifest in word use: Correlations with self-report, acquaintance report, and behavior.	LA Fast, DC Funder	10.1037/0022-3514.94.2.334	JPSP	94	2	334-46		Adult, Female, Humans, Interpersonal Relations, Language, Male, Personality, Self Concept, Social Behavior, Social Perception, Verbal Behavior	2008.JPSP/psp 94-2/psp-94-2-334.pdf	JPSP/JPSP-94-2-334.pdf	Reproducibility Papers/JPSP/JPSP-94-2-334.pdf	Lisa A Fast, David C Funder	NA	JPSP-94-2-334
143	A new taxonomy of dutch personality traits based on a comprehensive and unrestricted list of descriptors.	B De Raad, DP Barelds	10.1037/0022-3514.94.2.347	JPSP	94	2	347-64		Ethnic Groups, Humans, Netherlands, Personality, Social Perception, Vocabulary	2008.JPSP/psp 94-2/psp-94-2-347.pdf	JPSP/JPSP-94-2-347.pdf	Reproducibility Papers/JPSP/JPSP-94-2-347.pdf	Boele De Raad, Dick P H Barelds	NA	JPSP-94-2-347
144	Placing the face in context: Cultural differences in the perception of facial emotion.	T Masuda, PC Ellsworth, B Mesquita, J Leu, S Tanida, E Van de Veerdonk	10.1037/0022-3514.94.3.365	JPSP	94	3	365-81		Attention [physiology], Cultural Diversity, Emotions [physiology], Eye Movements [physiology], Facial Expression, Female, Humans, Japan, Judgment [physiology], Male, Social Perception, Students [psychology], United States	2008.JPSP/psp 94-3/psp-94-3-365.pdf	JPSP/JPSP-94-3-365.pdf	Reproducibility Papers/JPSP/JPSP-94-3-365.pdf	Takahiko Masuda, Phoebe C Ellsworth, Batja Mesquita, Janxin Leu, Shigehito Tanida, Ellen Van de Veerdonk	NA	JPSP-94-3-365
145	R2|Placing the face in context: Cultural differences in the perception of facial emotion.	T Masuda, PC Ellsworth, B Mesquita, J Leu, S Tanida, E Van de Veerdonk	10.1037/0022-3514.94.3.365	JPSP	94	3	365-81		Attention [physiology], Cultural Diversity, Emotions [physiology], Eye Movements [physiology], Facial Expression, Female, Humans, Japan, Judgment [physiology], Male, Social Perception, Students [psychology], United States	2008.JPSP/psp 94-3/psp-94-3-365.pdf	JPSP/JPSP-94-3-365.pdf	Reproducibility Papers/JPSP/JPSP-94-3-365.pdf	Takahiko Masuda, Phoebe C Ellsworth, Batja Mesquita, Janxin Leu, Shigehito Tanida, Ellen Van de Veerdonk	NA	JPSP-94-3-365
146	Self-regulation and selective exposure: The impact of depleted self-regulation resources on confirmatory information processing.	P Fischer, T Greitemeyer, D Frey	10.1037/0022-3514.94.3.382	JPSP	94	3	382-95		Adolescent, Adult, Cognition [physiology], Decision Making [physiology], Ego, Female, Humans, Internal-External Control, Male, Middle Aged, Motivation, Self Concept, Students [psychology]	2008.JPSP/psp 94-3/psp-94-3-382.pdf	JPSP/JPSP-94-3-382.pdf	Reproducibility Papers/JPSP/JPSP-94-3-382.pdf	Peter Fischer, Tobias Greitemeyer, Dieter Frey	NA	JPSP-94-3-382
147	The effects of an implemental mind-set on attitude strength.	MD Henderson, Y de Liver, PM Gollwitzer	10.1037/0022-3514.94.3.396	JPSP	94	3	396-411		Adult, Attitude, Behavior [physiology], Decision Making [physiology], Female, Goals, Humans, Self Concept, Set (Psychology), Students [psychology], Task Performance and Analysis	2008.JPSP/psp 94-3/psp-94-3-396.pdf	JPSP/JPSP-94-3-396.pdf	Reproducibility Papers/JPSP/JPSP-94-3-396.pdf	Marlone D Henderson, Yaël de Liver, Peter M Gollwitzer	NA	JPSP-94-3-396
148	The cost of lower self-esteem: Testing a self-and social-bonds model of health.	DA Stinson, C Logel, MP Zanna, JG Holmes, JJ Cameron, JV Wood, SJ Spencer	10.1037/0022-3514.94.3.412	JPSP	94	3	412-28		Adolescent, Ego, Female, Health Status, Humans, Interpersonal Relations, Male, Models, Psychological, Self Concept, Social Behavior, Stress, Psychological [psychology], Students [psychology]	2008.JPSP/psp 94-3/psp-94-3-412.pdf	JPSP/JPSP-94-3-412.pdf	Reproducibility Papers/JPSP/JPSP-94-3-412.pdf	Danu Anthony Stinson, Christine Logel, Mark P Zanna, John G Holmes, Jessica J Cameron, Joanne V Wood, Steven J Spencer	NA	JPSP-94-3-412
149	Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.	SL Murray, JL Derrick, S Leder, JG Holmes	10.1037/0022-3514.94.3.429	JPSP	94	3	429-59		Adolescent, Adult, Conflict (Psychology), Courtship [psychology], Female, Goals, Humans, Intention, Interpersonal Relations, Male, Models, Psychological, Questionnaires, Rejection (Psychology), Risk Reduction Behavior, Self Concept, Students [psychology], Trust [psychology]	2008.JPSP/psp 94-3/psp-94-3-429.pdf	JPSP/JPSP-94-3-429.pdf	Reproducibility Papers/JPSP/JPSP-94-3-429.pdf	Sandra L Murray, Jaye L Derrick, Sadie Leder, John G Holmes	NA	JPSP-94-3-429
150	Modeling support provision in intimate relationships.	M Iida, G Seidman, PE Shrout, K Fujita, N Bolger	10.1037/0022-3514.94.3.460	JPSP	94	3	460-78		Adaptation, Psychological [physiology], Adult, Affect [physiology], Emotions [physiology], Female, Humans, Interpersonal Relations, Love, Male, Models, Psychological, Self Disclosure, Sex Factors, Sexual Partners [psychology], Social Support, Stress, Psychological [psychology]	2008.JPSP/psp 94-3/psp-94-3-460.pdf	JPSP/JPSP-94-3-460.pdf	Reproducibility Papers/JPSP/JPSP-94-3-460.pdf	Masumi Iida, Gwendolyn Seidman, Patrick E Shrout, Kentaro Fujita, Niall Bolger	NA	JPSP-94-3-460
151	Interindividual-intergroup discontinuity in the domain of correspondent outcomes: The roles of relativistic concern, perceived categorization, and the doctrine of mutual assured destruction.	ST Wolf, CA Insko, JL Kirchner, T Wildschut	10.1037/0022-3514.94.3.479	JPSP	94	3	479-94		Choice Behavior [physiology], Competitive Behavior [physiology], Conflict (Psychology), Cooperative Behavior, Female, Group Processes, Humans, Individuality, Interpersonal Relations, Male, Motivation, Social Perception, Students [psychology]	2008.JPSP/psp 94-3/psp-94-3-479.pdf	JPSP/JPSP-94-3-479.pdf	Reproducibility Papers/JPSP/JPSP-94-3-479.pdf	Scott T Wolf, Chester A Insko, Jeffrey L Kirchner, Tim Wildschut	NA	JPSP-94-3-479
152	Not so innocent: Does seeing one's own capacity for wrongdoing predict forgiveness?	JJ Exline, RF Baumeister, AL Zell, AJ Kraft, CV Witvliet	10.1037/0022-3514.94.3.495	JPSP	94	3	495-515		Adolescent, Adult, Anger [physiology], Attitude, Empathy, Female, Group Processes, Guilt, Humans, Individuality, Interpersonal Relations, Male, Mental Recall [physiology], Motivation, Sex Factors, Social Behavior, Social Perception, Students [psychology]	2008.JPSP/psp 94-3/psp-94-3-495.pdf	JPSP/JPSP-94-3-495.pdf	Reproducibility Papers/JPSP/JPSP-94-3-495.pdf	Julie Juola Exline, Roy F Baumeister, Anne L Zell, Amy J Kraft, Charlotte V O Witvliet	NA	JPSP-94-3-495
153	The nonverbal expression of pride: Evidence for cross-cultural recognition.	JL Tracy, RW Robins	10.1037/0022-3514.94.3.516	JPSP	94	3	516-30		Adult, Affect [physiology], Africa, Western, Aged, Anger [physiology], Cross-Cultural Comparison, Emotions [physiology], Ethnic Groups [psychology], Facial Expression, Fear [psychology], Female, Happiness, Humans, Italy, Male, Middle Aged, Nonverbal Communication [psychology], Recognition (Psychology) [physiology], Self Concept, Shame, Social Behavior, Students, United States	2008.JPSP/psp 94-3/psp-94-3-516.pdf	JPSP/JPSP-94-3-516.pdf	Reproducibility Papers/JPSP/JPSP-94-3-516.pdf	Jessica L Tracy, Richard W Robins	NA	JPSP-94-3-516
154	Integrating dispositions, signatures, and the interpersonal domain.	MA Fournier, DS Moskowitz, DC Zuroff	10.1037/0022-3514.94.3.531	JPSP	94	3	531-45		Adult, Affect [physiology], Aged, Female, Humans, Interpersonal Relations, Male, Middle Aged, Personality [physiology], Self Disclosure, Social Behavior, Social Perception	2008.JPSP/psp 94-3/psp-94-3-531.pdf	JPSP/JPSP-94-3-531.pdf	Reproducibility Papers/JPSP/JPSP-94-3-531.pdf	Marc A Fournier, D S Moskowitz, David C Zuroff	NA	JPSP-94-3-531
155	Together or apart: When goals and temptations complement versus compete.	A Fishbach, Y Zhang	10.1037/0022-3514.94.4.547	JPSP	94	4	547-59		Association Learning, Choice Behavior, Conflict (Psychology), Decision Making, Female, Food Preferences [psychology], Goals, Humans, Male, Motivation, Pattern Recognition, Visual, Reinforcement (Psychology), Self Efficacy	2008.JPSP/psp 94-4/psp-94-4-547.pdf	JPSP/JPSP-94-4-547.pdf	Reproducibility Papers/JPSP/JPSP-94-4-547.pdf	Ayelet Fishbach, Ying Zhang	NA	JPSP-94-4-547
156	Affective incoherence: When affective concepts and embodied reactions clash.	DB Centerbar, S Schnall, GL Clore, ED Garvin	10.1037/0022-3514.94.4.560	JPSP	94	4	560-78		Affect, Attention, Comprehension, Concept Formation, Conflict (Psychology), Cues, Culture, Female, Humans, Male, Memory, Short-Term, Mental Recall, Motivation, Reading, Retention (Psychology)	2008.JPSP/psp 94-4/psp-94-4-560.pdf	JPSP/JPSP-94-4-560.pdf	Reproducibility Papers/JPSP/JPSP-94-4-560.pdf	David B Centerbar, Simone Schnall, Gerald L Clore, Erika D Garvin	NA	JPSP-94-4-560
157	The effect of global versus local processing styles on assimilation versus contrast in social judgment.	J Förster, N Liberman, S Kuschel	10.1037/0022-3514.94.4.579	JPSP	94	4	579-99		Association Learning, Attention, Concept Formation, Dominance, Cerebral, Female, Field Dependence-Independence, Generalization (Psychology), Gestalt Theory, Humans, Judgment, Male, Pattern Recognition, Visual, Psychomotor Performance, Self Concept, Social Identification, Social Perception, Time Perception	2008.JPSP/psp 94-4/psp-94-4-579.pdf	JPSP/JPSP-94-4-579.pdf	Reproducibility Papers/JPSP/JPSP-94-4-579.pdf	Jens Förster, Nira Liberman, Stefanie Kuschel	NA	JPSP-94-4-579
158	A social functional approach to emotions in bargaining: When communicating anger pays and when it backfires.	E van Dijk, GA van Kleef, W Steinel, I van Beest	10.1037/0022-3514.94.4.600	JPSP	94	4	600-14		Adult, Anger, Communication, Deception, Dominance-Subordination, Emotions, Fear, Female, Goals, Humans, Interpersonal Relations, Male, Motivation, Negotiating, Power (Psychology), Rejection (Psychology)	2008.JPSP/psp 94-4/psp-94-4-600.pdf	JPSP/JPSP-94-4-600.pdf	Reproducibility Papers/JPSP/JPSP-94-4-600.pdf	Eric van Dijk, Gerben A van Kleef, Wolfgang Steinel, Ilja van Beest	NA	JPSP-94-4-600
159	Social identity contingencies: How diversity cues signal threat or safety for african americans in mainstream institutions.	V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby	10.1037/0022-3514.94.4.615	JPSP	94	4	615-30		Adolescent, Adult, African Continental Ancestry Group [psychology], Cues, Cultural Diversity, Female, Hierarchy, Social, Humans, Judgment, Male, Organizational Culture, Prejudice, Rejection (Psychology), Social Identification, Social Values, Stereotyping, Trust	2008.JPSP/psp 94-4/psp-94-4-615.pdf	JPSP/JPSP-94-4-615.pdf	Reproducibility Papers/JPSP/JPSP-94-4-615.pdf	Valerie Purdie-Vaughns, Claude M Steele, Paul G Davies, Ruth Ditlmann, Jennifer Randall Crosby	NA	JPSP-94-4-615
160	Benevolent cognitions as a strategy of relationship maintenance: Don't sweat the small stuff....but it is not all small stuff.	JK McNulty, EM O'Mara, BR Karney	10.1037/0022-3514.94.4.631	JPSP	94	4	631-46		Adaptation, Psychological, Adult, Attitude, Beneficence, Cognition, Female, Humans, Illusions, Longitudinal Studies, Male, Marriage [psychology], Personal Satisfaction, Problem Solving	2008.JPSP/psp 94-4/psp-94-4-631.pdf	JPSP/JPSP-94-4-631.pdf	Reproducibility Papers/JPSP/JPSP-94-4-631.pdf	James K McNulty, Erin M O'Mara, Benjamin R Karney	NA	JPSP-94-4-631
161	How the head liberates the heart: Projection of communal responsiveness guides relationship promotion.	EP Lemay, MS Clark	10.1037/0022-3514.94.4.647	JPSP	94	4	647-71		Adolescent, Adult, Communication, Data Collection, Female, Friends [psychology], Humans, Internet, Interpersonal Relations, Longitudinal Studies, Male, Marriage, Middle Aged, Projection, Questionnaires, Self Concept, Social Support, Spouses [psychology]	2008.JPSP/psp 94-4/psp-94-4-647.pdf	JPSP/JPSP-94-4-647.pdf	Reproducibility Papers/JPSP/JPSP-94-4-647.pdf	Edward P Lemay, Margaret S Clark	NA	JPSP-94-4-647
162	On the relative independence of thinking biases and cognitive ability.	KE Stanovich, RF West	10.1037/0022-3514.94.4.672	JPSP	94	4	672-95		Adolescent, Adult, Aptitude, Cognition, Culture, Decision Making, Female, Humans, Judgment, Male, Probability Learning, Problem Solving, Thinking	2008.JPSP/psp 94-4/psp-94-4-672.pdf	JPSP/JPSP-94-4-672.pdf	Reproducibility Papers/JPSP/JPSP-94-4-672.pdf	Keith E Stanovich, Richard F West	NA	JPSP-94-4-672
163	Terror management and adults' attachment to their parents: The safe haven remains.	CR Cox, J Arndt, T Pyszczynski, J Greenberg, A Abdollahi, S Solomon	10.1037/0022-3514.94.4.696	JPSP	94	4	696-717		Adaptation, Psychological, Adolescent, Adult, Adult Children [psychology], Attitude to Death, Defense Mechanisms, Fear, Female, Humans, Male, Mental Recall, Middle Aged, Object Attachment, Parent-Child Relations, Self Efficacy, Social Support	2008.JPSP/psp 94-4/psp-94-4-696.pdf	JPSP/JPSP-94-4-696.pdf	Reproducibility Papers/JPSP/JPSP-94-4-696.pdf	Cathy R Cox, Jamie Arndt, Tom Pyszczynski, Jeff Greenberg, Abdolhossein Abdollahi, Sheldon Solomon	NA	JPSP-94-4-696
